sequence_id,timestamp_utc,candle_open,candle_close,sell_probability,hold_probability,buy_probability,decision,ema_fast,bb_middle,volume_sma,obv,market_regime,position_open,trade_opened,trade_id,model_version,model_checksum
INF-000001,2026-06-27T03:00:01.917930Z,0.00,0.00,0.027590,0.956237,0.016174,HOLD,59936.04,59877.26,91544.44,-4644896.35,UNKNOWN,False,False,,qv2_target_spec_v1_reduced_33_primary,c08d5ae6e98ebe60
INF-000002,2026-06-27T06:00:02.444473Z,0.00,0.00,0.030535,0.947044,0.022421,HOLD,60055.38,59915.77,82391.25,-4644836.21,UNKNOWN,False,False,,qv2_target_spec_v1_reduced_33_primary,c08d5ae6e98ebe60
INF-000003,2026-06-27T07:00:02.256435Z,0.00,0.00,0.033681,0.946801,0.019518,HOLD,60118.43,59919.62,77683.08,-4644254.39,UNKNOWN,False,False,,qv2_target_spec_v1_reduced_33_primary,c08d5ae6e98ebe60
INF-000004,2026-06-27T10:00:02.859378Z,0.00,0.00,0.037194,0.936379,0.026427,HOLD,60222.72,59922.85,68383.42,-4643944.43,UNKNOWN,False,False,,qv2_target_spec_v1_reduced_33_primary,c08d5ae6e98ebe60
INF-000005,2026-06-27T10:17:39.855459Z,0.00,0.00,0.037194,0.936379,0.026427,HOLD,60222.72,59922.85,68383.42,-4643944.43,UNKNOWN,False,False,,qv2_target_spec_v1_reduced_33_primary,c08d5ae6e98ebe60
INF-000006,2026-06-27T10:30:57.862228Z,0.00,0.00,0.037194,0.936379,0.026427,HOLD,60222.72,59922.85,68383.42,-4643944.43,UNKNOWN,False,False,,qv2_target_spec_v1_reduced_33_primary,c08d5ae6e98ebe60
INF-000007,2026-06-27T11:00:03.651378Z,0.00,0.00,0.037226,0.936522,0.026252,HOLD,60262.23,59955.86,62868.10,-4643875.62,UNKNOWN,False,False,,qv2_target_spec_v1_reduced_33_primary,c08d5ae6e98ebe60
INF-000008,2026-06-27T12:00:03.494013Z,0.00,0.00,0.041809,0.923743,0.034448,HOLD,60282.51,60007.16,56942.45,-4644151.01,UNKNOWN,False,False,,qv2_target_spec_v1_reduced_33_primary,c08d5ae6e98ebe60
INF-000009,2026-06-27T13:00:03.474742Z,0.00,0.00,0.046264,0.923181,0.030555,HOLD,60312.01,60058.84,53009.79,-4643801.97,UNKNOWN,False,False,,qv2_target_spec_v1_reduced_33_primary,c08d5ae6e98ebe60
INF-000010,2026-06-27T14:00:03.355999Z,0.00,0.00,0.048099,0.923949,0.027953,HOLD,60367.28,60127.66,46985.53,-4643367.83,UNKNOWN,False,False,,qv2_target_spec_v1_reduced_33_primary,c08d5ae6e98ebe60
INF-000011,2026-06-27T15:00:05.104681Z,0.00,0.00,0.042940,0.926369,0.030690,HOLD,60416.12,60168.91,41065.78,-4643061.19,UNKNOWN,False,False,,qv2_target_spec_v1_reduced_33_primary,c08d5ae6e98ebe60
INF-000012,2026-06-27T16:00:05.593319Z,0.00,0.00,0.065633,0.906306,0.028061,HOLD,60500.91,60232.55,35693.25,-4642523.48,UNKNOWN,False,False,,qv2_target_spec_v1_reduced_33_primary,c08d5ae6e98ebe60
