timeframe,horizon,threshold,voladj,%BUY,%HOLD,%SELL,%TRADE,entropy,persist_lag1,SNR,MI,score_entropy,score_density,score_snr,score_persist,score_mi,composite_score
4h,1,0.25,voladj,36.1,30.1,33.7,69.9,1.581,-0.075,0.0188,0.6466,0.9983633386254722,0.9432485322877824,0.2936288080508897,0.8953323903966998,0.9047330094342433,0.8117427322185788
4h,6,0.25,voladj,38.2,27.2,34.6,72.8,1.571,0.691,0.0443,0.678,0.981996726516858,0.999999999998043,0.9999999972299168,0.024045261807065788,0.9999999996966019,0.8003082333907099
2h,1,0.25,voladj,36.2,29.4,34.5,70.6,1.579,-0.078,0.0129,0.6508,0.9950900162037494,0.9569471624247416,0.13019390545652657,0.8910891089262958,0.9174757278769794,0.782039898593997
4h,5,0.25,voladj,37.4,28.3,34.3,71.7,1.575,0.656,0.0405,0.6649,0.9885433713603037,0.9784735812113925,0.8947368396267678,0.07355021229511305,0.9602548540775926,0.7805261975783696
4h,2,0.25,voladj,36.4,30.0,33.7,70.0,1.58,0.345,0.0265,0.6487,0.996726677414611,0.945205479450205,0.5069252063520077,0.5134370580603342,0.9111043686556115,0.7789608734245038
4h,4,0.25,voladj,37.4,28.3,34.3,71.7,1.575,0.599,0.0364,0.6648,0.9885433713603037,0.9784735812113925,0.7811634327391596,0.15417256023279025,0.9599514560194319,0.7738904760796592
4h,3,0.25,voladj,36.7,29.1,34.2,70.9,1.578,0.511,0.032,0.655,0.9934533549928881,0.9628180039120102,0.659279776567092,0.27864215003130943,0.9302184463197152,0.7680440917982617
1h,1,0.25,voladj,36.6,28.2,35.1,71.8,1.576,-0.065,0.0082,0.6597,0.9901800325711653,0.9804305283738152,0.0,0.9094766619647133,0.9444781550532527,0.767198169468485
2h,2,0.25,voladj,35.8,30.4,33.7,69.6,1.582,0.338,0.0184,0.6433,0.9999999998363339,0.9373776908005138,0.28254847567161084,0.5233380481579437,0.894720873514951,0.7328609739123398
2h,3,0.25,voladj,36.1,30.1,33.8,69.9,1.581,0.489,0.0226,0.646,0.9983633386254722,0.9432485322877824,0.3988919656540388,0.30975954748093926,0.9029126210852813,0.7154077369037124
2h,6,0.25,voladj,36.8,29.1,34.1,70.9,1.578,0.684,0.0311,0.655,0.9934533549928881,0.9628180039120102,0.6343490287137145,0.03394625190467515,0.9302184463197152,0.7141187626022593
2h,5,0.25,voladj,36.5,29.5,34.0,70.5,1.579,0.636,0.0286,0.6513,0.9950900162037494,0.954990215262319,0.5650969513432218,0.10183875543114018,0.9189927181677812,0.7110065961834406
2h,4,0.25,voladj,36.1,30.1,33.7,69.9,1.581,0.58,0.0258,0.6462,0.9983633386254722,0.9432485322877824,0.48753462468826964,0.1810466762120161,0.903519417201602,0.707484713874222
1h,2,0.25,voladj,36.6,28.7,34.8,71.3,1.577,0.343,0.0119,0.6565,0.9918166937820265,0.9706457925617012,0.10249307450832944,0.5162659123739368,0.9347694171921207,0.7060505419131182
4h,1,0.5,voladj,24.6,52.6,22.9,47.4,1.472,-0.037,0.0188,0.631,0.8199672666415764,0.5029354207426557,0.2936288080508897,0.9490806223551512,0.8574029123612247,0.6827312237443172
1h,3,0.25,voladj,36.5,29.0,34.5,71.0,1.578,0.497,0.0146,0.6544,0.9934533549928881,0.9647749510744329,0.1772853180684617,0.2984441302265284,0.9283980579707528,0.6757239273177196
4h,6,0.5,voladj,27.7,47.3,24.9,52.7,1.524,0.708,0.0443,0.608,0.9050736496063708,0.6066536203510634,0.9999999972299168,1.4144274640415233e-10,0.787621358984338,0.6657423397937281
1h,4,0.25,voladj,36.2,29.6,34.2,70.4,1.58,0.587,0.0167,0.6495,0.996726677414611,0.9530332680998963,0.23545706305967568,0.17114568611440661,0.9135315531208943,0.6581386057765827
1h,5,0.25,voladj,36.4,29.6,34.0,70.4,1.58,0.632,0.0186,0.6503,0.996726677414611,0.9530332680998963,0.2880886418612502,0.10749646405834556,0.9159587375861774,0.6562991547954777
1h,6,0.25,voladj,36.5,29.4,34.1,70.6,1.579,0.675,0.0204,0.6516,0.9950900162037494,0.9569471624247416,0.3379501375680052,0.04667609631588732,0.9199029123422622,0.6550726201640035
4h,5,0.5,voladj,27.5,47.8,24.7,52.2,1.52,0.673,0.0405,0.6093,0.8985270047629251,0.5968688845389495,0.8947368396267678,0.04950495062949001,0.7915655337404228,0.6515887162108361
2h,1,0.5,voladj,24.4,52.2,23.3,47.8,1.476,-0.047,0.0129,0.6281,0.8265139114850222,0.5107632093923469,0.13019390545652657,0.9349363507871378,0.8486043686745738,0.6490978262996439
4h,4,0.5,voladj,26.9,49.0,24.1,51.0,1.509,0.623,0.0364,0.6135,0.8805237314434492,0.573385518589876,0.7811634327391596,0.12022630846955773,0.8043082521831589,0.6357322226480548
4h,2,0.5,voladj,25.4,51.8,22.8,48.2,1.48,0.374,0.0265,0.6277,0.8330605563284679,0.5185909980420381,0.5069252063520077,0.47241867051309494,0.8473907764419324,0.634960730529835
1h,1,0.5,voladj,24.9,51.2,23.9,48.8,1.487,-0.043,0.0082,0.6217,0.8445171848044981,0.5303326810165747,0.0,0.9405940594143432,0.8291868929523097,0.6296926782301545
4h,3,0.5,voladj,26.1,50.5,23.4,49.5,1.494,0.53,0.032,0.6204,0.8559738132805279,0.5440313111535342,0.659279776567092,0.2517680340520837,0.8252427181962246,0.6287956854041077
2h,2,0.5,voladj,24.5,52.7,22.8,47.3,1.47,0.368,0.0184,0.6325,0.8166939442198535,0.500978473580233,0.28254847567161084,0.480905233453903,0.8619538832336302,0.5863530050811573
