timeframe,config,regime,%TRADE,%BUY,%SELL
1h,h1_t0.25_voladj,bull,71.9,35.8,36.0
1h,h1_t0.25_voladj,bear,72.8,38.1,34.7
1h,h1_t0.25_voladj,sideways,70.6,36.0,34.6
1h,h1_t0.25_voladj,crisis,73.7,38.1,35.6
1h,h1_t0.25_raw,bull,0.0,0.0,0.0
1h,h1_t0.25_raw,bear,0.0,0.0,0.0
1h,h1_t0.25_raw,sideways,0.0,0.0,0.0
1h,h1_t0.25_raw,crisis,0.0,0.0,0.0
1h,h1_t0.5_voladj,bull,49.1,24.5,24.6
1h,h1_t0.5_voladj,bear,50.2,26.0,24.2
1h,h1_t0.5_voladj,sideways,47.1,23.9,23.1
1h,h1_t0.5_voladj,crisis,51.4,27.4,24.0
1h,h1_t0.5_raw,bull,0.0,0.0,0.0
1h,h1_t0.5_raw,bear,0.0,0.0,0.0
1h,h1_t0.5_raw,sideways,0.0,0.0,0.0
1h,h1_t0.5_raw,crisis,0.0,0.0,0.0
1h,h1_t0.75_voladj,bull,32.3,16.6,15.8
1h,h1_t0.75_voladj,bear,35.0,17.7,17.3
1h,h1_t0.75_voladj,sideways,30.8,15.7,15.1
1h,h1_t0.75_voladj,crisis,34.7,18.4,16.2
1h,h1_t0.75_raw,bull,0.0,0.0,0.0
1h,h1_t0.75_raw,bear,0.0,0.0,0.0
1h,h1_t0.75_raw,sideways,0.0,0.0,0.0
1h,h1_t0.75_raw,crisis,0.0,0.0,0.0
1h,h1_t1.0_voladj,bull,21.9,11.6,10.3
1h,h1_t1.0_voladj,bear,24.5,12.1,12.4
1h,h1_t1.0_voladj,sideways,20.8,10.5,10.3
1h,h1_t1.0_voladj,crisis,23.1,12.4,10.8
1h,h1_t1.0_raw,bull,0.0,0.0,0.0
1h,h1_t1.0_raw,bear,0.0,0.0,0.0
1h,h1_t1.0_raw,sideways,0.0,0.0,0.0
1h,h1_t1.0_raw,crisis,0.0,0.0,0.0
1h,h2_t0.25_voladj,bull,71.5,35.5,36.0
1h,h2_t0.25_voladj,bear,72.7,38.3,34.4
1h,h2_t0.25_voladj,sideways,70.0,35.9,34.0
1h,h2_t0.25_voladj,crisis,73.1,38.4,34.7
1h,h2_t0.25_raw,bull,0.0,0.0,0.0
1h,h2_t0.25_raw,bear,0.0,0.0,0.0
1h,h2_t0.25_raw,sideways,0.0,0.0,0.0
1h,h2_t0.25_raw,crisis,0.0,0.0,0.0
1h,h2_t0.5_voladj,bull,48.3,24.2,24.1
1h,h2_t0.5_voladj,bear,50.1,26.0,24.0
1h,h2_t0.5_voladj,sideways,47.1,24.2,22.9
1h,h2_t0.5_voladj,crisis,50.1,26.5,23.6
1h,h2_t0.5_raw,bull,0.0,0.0,0.0
1h,h2_t0.5_raw,bear,0.0,0.0,0.0
1h,h2_t0.5_raw,sideways,0.0,0.0,0.0
1h,h2_t0.5_raw,crisis,0.0,0.0,0.0
1h,h2_t0.75_voladj,bull,32.7,16.9,15.8
1h,h2_t0.75_voladj,bear,35.0,17.8,17.2
1h,h2_t0.75_voladj,sideways,31.6,16.1,15.5
1h,h2_t0.75_voladj,crisis,34.0,18.0,16.0
1h,h2_t0.75_raw,bull,0.0,0.0,0.0
1h,h2_t0.75_raw,bear,0.0,0.0,0.0
1h,h2_t0.75_raw,sideways,0.0,0.0,0.0
1h,h2_t0.75_raw,crisis,0.0,0.0,0.0
1h,h2_t1.0_voladj,bull,22.4,12.0,10.4
1h,h2_t1.0_voladj,bear,25.2,12.2,13.0
1h,h2_t1.0_voladj,sideways,21.5,10.8,10.7
1h,h2_t1.0_voladj,crisis,23.6,12.6,11.0
1h,h2_t1.0_raw,bull,0.0,0.0,0.0
1h,h2_t1.0_raw,bear,0.0,0.0,0.0
