timeframe,horizon,threshold,voladj,%BUY,%HOLD,%SELL,%TRADE,entropy,persist_lag1,SNR,MI
1h,1,0.25,voladj,36.6,28.2,35.1,71.8,1.576,-0.065,0.0082,0.6597
1h,1,0.25,raw,0.0,100.0,0.0,0.0,-0.0,,0.009,0.0
1h,1,0.5,voladj,24.9,51.2,23.9,48.8,1.487,-0.043,0.0082,0.6217
1h,1,0.5,raw,0.0,100.0,0.0,0.0,-0.0,,0.009,0.0
1h,1,0.75,voladj,16.7,67.4,15.9,32.6,1.236,-0.019,0.0082,0.5402
1h,1,0.75,raw,0.0,100.0,0.0,0.0,-0.0,,0.009,0.0
1h,1,1.0,voladj,11.4,77.8,10.8,22.2,0.986,-0.001,0.0082,0.3565
1h,1,1.0,raw,0.0,100.0,0.0,0.0,-0.0,,0.009,0.0
1h,2,0.25,voladj,36.6,28.7,34.8,71.3,1.577,0.343,0.0119,0.6565
1h,2,0.25,raw,0.0,100.0,0.0,0.0,0.0,-0.0,0.0127,0.0
1h,2,0.5,voladj,24.8,51.6,23.6,48.4,1.483,0.366,0.0119,0.6243
1h,2,0.5,raw,0.0,100.0,0.0,0.0,-0.0,,0.0127,0.0
1h,2,0.75,voladj,16.9,67.1,16.0,32.9,1.243,0.37,0.0119,0.5474
1h,2,0.75,raw,0.0,100.0,0.0,0.0,-0.0,,0.0127,0.0
1h,2,1.0,voladj,11.6,77.2,11.2,22.8,1.002,0.37,0.0119,0.366
1h,2,1.0,raw,0.0,100.0,0.0,0.0,-0.0,,0.0127,0.0
1h,3,0.25,voladj,36.5,29.0,34.5,71.0,1.578,0.497,0.0146,0.6544
1h,3,0.25,raw,0.0,100.0,0.0,0.0,0.0,-0.0,0.0156,-0.0
1h,3,0.5,voladj,25.1,51.4,23.5,48.6,1.485,0.514,0.0146,0.6235
1h,3,0.5,raw,0.0,100.0,0.0,0.0,-0.0,,0.0156,0.0
1h,3,0.75,voladj,17.1,66.8,16.1,33.2,1.248,0.508,0.0146,0.5525
1h,3,0.75,raw,0.0,100.0,0.0,0.0,-0.0,,0.0156,0.0
1h,3,1.0,voladj,11.8,76.9,11.3,23.1,1.01,0.501,0.0146,0.3707
1h,3,1.0,raw,0.0,100.0,0.0,0.0,-0.0,,0.0156,0.0
1h,4,0.25,voladj,36.2,29.6,34.2,70.4,1.58,0.587,0.0167,0.6495
1h,4,0.25,raw,0.0,100.0,0.0,0.0,0.0,-0.0,0.018,-0.0
1h,4,0.5,voladj,25.2,51.4,23.4,48.6,1.485,0.595,0.0167,0.6242
1h,4,0.5,raw,0.0,100.0,0.0,0.0,-0.0,,0.018,0.0
1h,4,0.75,voladj,17.4,66.3,16.3,33.7,1.258,0.59,0.0167,0.5631
1h,4,0.75,raw,0.0,100.0,0.0,0.0,-0.0,,0.018,0.0
1h,4,1.0,voladj,12.2,76.2,11.6,23.8,1.03,0.584,0.0167,0.3823
1h,4,1.0,raw,0.0,100.0,0.0,0.0,-0.0,,0.018,0.0
1h,5,0.25,voladj,36.4,29.6,34.0,70.4,1.58,0.632,0.0186,0.6503
1h,5,0.25,raw,0.0,100.0,0.0,0.0,0.001,0.0,0.0202,-0.0
1h,5,0.5,voladj,25.3,51.1,23.7,48.9,1.488,0.646,0.0186,0.6218
1h,5,0.5,raw,0.0,100.0,0.0,0.0,-0.0,,0.0202,0.0
1h,5,0.75,voladj,17.6,65.9,16.5,34.1,1.267,0.643,0.0186,0.5737
1h,5,0.75,raw,0.0,100.0,0.0,0.0,-0.0,,0.0202,0.0
1h,5,1.0,voladj,12.5,75.7,11.8,24.3,1.043,0.635,0.0186,0.3908
1h,5,1.0,raw,0.0,100.0,0.0,0.0,-0.0,,0.0202,0.0
1h,6,0.25,voladj,36.5,29.4,34.1,70.6,1.579,0.675,0.0204,0.6516
1h,6,0.25,raw,0.0,100.0,0.0,0.0,0.001,0.0,0.0221,-0.0
1h,6,0.5,voladj,25.4,51.0,23.5,49.0,1.489,0.683,0.0204,0.6222
1h,6,0.5,raw,0.0,100.0,0.0,0.0,-0.0,,0.0221,0.0
1h,6,0.75,voladj,18.0,65.5,16.5,34.5,1.274,0.678,0.0204,0.5822
1h,6,0.75,raw,0.0,100.0,0.0,0.0,-0.0,,0.0221,0.0
1h,6,1.0,voladj,12.6,75.4,12.0,24.6,1.051,0.673,0.0204,0.3955
1h,6,1.0,raw,0.0,100.0,0.0,0.0,-0.0,,0.0221,0.0
2h,1,0.25,voladj,36.2,29.4,34.5,70.6,1.579,-0.078,0.0129,0.6508
2h,1,0.25,raw,0.0,100.0,0.0,0.0,0.001,-0.0,0.0126,0.0
2h,1,0.5,voladj,24.4,52.2,23.3,47.8,1.476,-0.047,0.0129,0.6281
2h,1,0.5,raw,0.0,100.0,0.0,0.0,-0.0,,0.0126,0.0
2h,1,0.75,voladj,16.3,68.0,15.7,32.0,1.223,-0.021,0.0129,0.5275
2h,1,0.75,raw,0.0,100.0,0.0,0.0,-0.0,,0.0126,0.0
2h,1,1.0,voladj,11.1,78.3,10.6,21.7,0.971,-0.007,0.0129,0.3484
2h,1,1.0,raw,0.0,100.0,0.0,0.0,-0.0,,0.0126,0.0
2h,2,0.25,voladj,35.8,30.4,33.7,69.6,1.582,0.338,0.0184,0.6433
2h,2,0.25,raw,0.0,100.0,0.0,0.0,0.001,-0.0,0.018,-0.0
2h,2,0.5,voladj,24.5,52.7,22.8,47.3,1.47,0.368,0.0184,0.6325
2h,2,0.5,raw,0.0,100.0,0.0,0.0,-0.0,,0.018,0.0
2h,2,0.75,voladj,16.8,67.5,15.7,32.5,1.235,0.371,0.0184,0.5394
2h,2,0.75,raw,0.0,100.0,0.0,0.0,-0.0,,0.018,0.0
2h,2,1.0,voladj,11.7,77.2,11.1,22.8,1.001,0.373,0.0184,0.3655
2h,2,1.0,raw,0.0,100.0,0.0,0.0,-0.0,,0.018,0.0
2h,3,0.25,voladj,36.1,30.1,33.8,69.9,1.581,0.489,0.0226,0.646
2h,3,0.25,raw,0.0,100.0,0.0,0.0,0.001,0.0,0.0221,-0.0
2h,3,0.5,voladj,25.1,52.2,22.8,47.8,1.476,0.514,0.0226,0.6299
2h,3,0.5,raw,0.0,100.0,0.0,0.0,-0.0,,0.0221,0.0
2h,3,0.75,voladj,17.4,66.8,15.8,33.2,1.248,0.515,0.0226,0.5543
2h,3,0.75,raw,0.0,100.0,0.0,0.0,-0.0,,0.0221,0.0
2h,3,1.0,voladj,12.2,76.3,11.5,23.7,1.027,0.512,0.0226,0.381
2h,3,1.0,raw,0.0,100.0,0.0,0.0,-0.0,,0.0221,0.0
2h,4,0.25,voladj,36.1,30.1,33.7,69.9,1.581,0.58,0.0258,0.6462
2h,4,0.25,raw,0.0,100.0,0.0,0.0,0.001,0.0,0.0255,-0.0
2h,4,0.5,voladj,25.3,51.4,23.3,48.6,1.485,0.597,0.0258,0.6244
2h,4,0.5,raw,0.0,100.0,0.0,0.0,-0.0,,0.0255,0.0
2h,4,0.75,voladj,17.7,66.1,16.2,33.9,1.263,0.594,0.0258,0.5697
2h,4,0.75,raw,0.0,100.0,0.0,0.0,-0.0,,0.0255,0.0
2h,4,1.0,voladj,12.5,75.7,11.8,24.3,1.043,0.591,0.0258,0.3911
2h,4,1.0,raw,0.0,100.0,0.0,0.0,-0.0,,0.0255,0.0
2h,5,0.25,voladj,36.5,29.5,34.0,70.5,1.579,0.636,0.0286,0.6513
2h,5,0.25,raw,0.0,100.0,0.0,0.0,0.001,0.0,0.0286,-0.0
2h,5,0.5,voladj,25.9,50.7,23.4,49.3,1.492,0.655,0.0286,0.6214
2h,5,0.5,raw,0.0,100.0,0.0,0.0,-0.0,,0.0286,0.0
2h,5,0.75,voladj,18.0,65.3,16.7,34.7,1.278,0.651,0.0286,0.5863
2h,5,0.75,raw,0.0,100.0,0.0,0.0,-0.0,,0.0286,0.0
2h,5,1.0,voladj,12.8,75.1,12.1,24.9,1.06,0.644,0.0286,0.4014
2h,5,1.0,raw,0.0,100.0,0.0,0.0,-0.0,,0.0286,0.0
2h,6,0.25,voladj,36.8,29.1,34.1,70.9,1.578,0.684,0.0311,0.655
2h,6,0.25,raw,0.0,100.0,0.0,0.0,0.001,0.0,0.0313,-0.0
2h,6,0.5,voladj,26.1,49.9,23.9,50.1,1.5,0.693,0.0311,0.6168
2h,6,0.5,raw,0.0,100.0,0.0,0.0,-0.0,,0.0313,0.0
2h,6,0.75,voladj,18.4,64.5,17.1,35.5,1.294,0.685,0.0311,0.6066
2h,6,0.75,raw,0.0,100.0,0.0,0.0,-0.0,,0.0313,0.0
2h,6,1.0,voladj,13.2,74.6,12.2,25.4,1.071,0.68,0.0311,0.4089
2h,6,1.0,raw,0.0,100.0,0.0,0.0,-0.0,,0.0313,0.0
4h,1,0.25,voladj,36.1,30.1,33.7,69.9,1.581,-0.075,0.0188,0.6466
4h,1,0.25,raw,0.0,100.0,0.0,0.0,-0.0,,0.018,0.0
4h,1,0.5,voladj,24.6,52.6,22.9,47.4,1.472,-0.037,0.0188,0.631
4h,1,0.5,raw,0.0,100.0,0.0,0.0,-0.0,,0.018,0.0
4h,1,0.75,voladj,16.8,67.5,15.7,32.5,1.235,-0.007,0.0188,0.5406
4h,1,0.75,raw,0.0,100.0,0.0,0.0,-0.0,,0.018,0.0
4h,1,1.0,voladj,11.6,77.5,10.9,22.5,0.995,0.011,0.0188,0.3623
4h,1,1.0,raw,0.0,100.0,0.0,0.0,-0.0,,0.018,0.0
4h,2,0.25,voladj,36.4,30.0,33.7,70.0,1.58,0.345,0.0265,0.6487
4h,2,0.25,raw,0.0,100.0,0.0,0.0,-0.0,,0.0256,0.0
4h,2,0.5,voladj,25.4,51.8,22.8,48.2,1.48,0.374,0.0265,0.6277
4h,2,0.5,raw,0.0,100.0,0.0,0.0,-0.0,,0.0256,0.0
4h,2,0.75,voladj,17.6,66.4,16.0,33.6,1.257,0.395,0.0265,0.5643
4h,2,0.75,raw,0.0,100.0,0.0,0.0,-0.0,,0.0256,0.0
4h,2,1.0,voladj,12.3,76.2,11.5,23.8,1.029,0.391,0.0265,0.3826
4h,2,1.0,raw,0.0,100.0,0.0,0.0,-0.0,,0.0256,0.0
4h,3,0.25,voladj,36.7,29.1,34.2,70.9,1.578,0.511,0.032,0.655
4h,3,0.25,raw,0.0,100.0,0.0,0.0,-0.0,,0.0314,0.0
4h,3,0.5,voladj,26.1,50.5,23.4,49.5,1.494,0.53,0.032,0.6204
4h,3,0.5,raw,0.0,100.0,0.0,0.0,-0.0,,0.0314,0.0
4h,3,0.75,voladj,18.4,64.8,16.8,35.2,1.288,0.534,0.032,0.6013
4h,3,0.75,raw,0.0,100.0,0.0,0.0,-0.0,,0.0314,0.0
4h,3,1.0,voladj,13.2,75.0,11.8,25.0,1.061,0.529,0.032,0.4029
4h,3,1.0,raw,0.0,100.0,0.0,0.0,-0.0,,0.0314,0.0
4h,4,0.25,voladj,37.4,28.3,34.3,71.7,1.575,0.599,0.0364,0.6648
4h,4,0.25,raw,0.0,100.0,0.0,0.0,0.001,-0.0,0.0362,0.0
4h,4,0.5,voladj,26.9,49.0,24.1,51.0,1.509,0.623,0.0364,0.6135
4h,4,0.5,raw,0.0,100.0,0.0,0.0,-0.0,,0.0362,0.0
4h,4,0.75,voladj,19.1,63.9,17.1,36.1,1.305,0.614,0.0364,0.6257
4h,4,0.75,raw,0.0,100.0,0.0,0.0,-0.0,,0.0362,0.0
4h,4,1.0,voladj,13.9,74.0,12.1,26.0,1.085,0.602,0.0364,0.4201
4h,4,1.0,raw,0.0,100.0,0.0,0.0,-0.0,,0.0362,0.0
4h,5,0.25,voladj,37.4,28.3,34.3,71.7,1.575,0.656,0.0405,0.6649
4h,5,0.25,raw,0.0,100.0,0.0,0.0,0.002,0.5,0.0405,0.0001
4h,5,0.5,voladj,27.5,47.8,24.7,52.2,1.52,0.673,0.0405,0.6093
4h,5,0.5,raw,0.0,100.0,0.0,0.0,-0.0,,0.0405,0.0
4h,5,0.75,voladj,19.8,62.7,17.5,37.3,1.324,0.662,0.0405,0.659
4h,5,0.75,raw,0.0,100.0,0.0,0.0,-0.0,,0.0405,0.0
4h,5,1.0,voladj,14.2,73.3,12.4,26.7,1.102,0.65,0.0405,0.4317
4h,5,1.0,raw,0.0,100.0,0.0,0.0,-0.0,,0.0405,0.0
4h,6,0.25,voladj,38.2,27.2,34.6,72.8,1.571,0.691,0.0443,0.678
4h,6,0.25,raw,0.0,100.0,0.0,0.0,0.003,0.667,0.0444,0.0002
4h,6,0.5,voladj,27.7,47.3,24.9,52.7,1.524,0.708,0.0443,0.608
4h,6,0.5,raw,0.0,100.0,0.0,0.0,-0.0,,0.0444,0.0
4h,6,0.75,voladj,20.1,62.1,17.8,37.9,1.335,0.699,0.0443,0.6702
4h,6,0.75,raw,0.0,100.0,0.0,0.0,-0.0,,0.0444,0.0
4h,6,1.0,voladj,14.7,72.8,12.5,27.2,1.116,0.689,0.0443,0.4421
4h,6,1.0,raw,0.0,100.0,0.0,0.0,-0.0,,0.0444,0.0
