timeframe,config,vol_bucket,%TRADE,%BUY,%SELL
1h,h1_t0.25_voladj,1,68.1,34.5,33.6
1h,h1_t0.25_voladj,2,72.6,36.9,35.8
1h,h1_t0.25_voladj,3,72.4,36.9,35.6
1h,h1_t0.25_voladj,4,72.7,37.5,35.2
1h,h1_t0.25_voladj,5,73.1,37.5,35.5
1h,h1_t0.25_raw,1,0.0,0.0,0.0
1h,h1_t0.25_raw,2,0.0,0.0,0.0
1h,h1_t0.25_raw,3,0.0,0.0,0.0
1h,h1_t0.25_raw,4,0.0,0.0,0.0
1h,h1_t0.25_raw,5,0.0,0.0,0.0
1h,h1_t0.5_voladj,1,44.5,22.6,21.9
1h,h1_t0.5_voladj,2,49.8,24.9,24.9
1h,h1_t0.5_voladj,3,49.9,25.1,24.8
1h,h1_t0.5_voladj,4,49.5,25.7,23.8
1h,h1_t0.5_voladj,5,50.4,26.3,24.1
1h,h1_t0.5_raw,1,0.0,0.0,0.0
1h,h1_t0.5_raw,2,0.0,0.0,0.0
1h,h1_t0.5_raw,3,0.0,0.0,0.0
1h,h1_t0.5_raw,4,0.0,0.0,0.0
1h,h1_t0.5_raw,5,0.0,0.0,0.0
1h,h1_t0.75_voladj,1,29.5,15.0,14.5
1h,h1_t0.75_voladj,2,33.8,16.8,17.1
1h,h1_t0.75_voladj,3,33.6,16.8,16.8
1h,h1_t0.75_voladj,4,32.4,17.0,15.4
1h,h1_t0.75_voladj,5,33.7,17.8,15.9
1h,h1_t0.75_raw,1,0.0,0.0,0.0
1h,h1_t0.75_raw,2,0.0,0.0,0.0
1h,h1_t0.75_raw,3,0.0,0.0,0.0
1h,h1_t0.75_raw,4,0.0,0.0,0.0
1h,h1_t0.75_raw,5,0.0,0.0,0.0
1h,h1_t1.0_voladj,1,20.1,10.3,9.8
1h,h1_t1.0_voladj,2,23.4,11.7,11.7
1h,h1_t1.0_voladj,3,23.1,11.3,11.8
1h,h1_t1.0_voladj,4,21.7,11.3,10.3
1h,h1_t1.0_voladj,5,22.8,12.1,10.7
1h,h1_t1.0_raw,1,0.0,0.0,0.0
1h,h1_t1.0_raw,2,0.0,0.0,0.0
1h,h1_t1.0_raw,3,0.0,0.0,0.0
1h,h1_t1.0_raw,4,0.0,0.0,0.0
1h,h1_t1.0_raw,5,0.0,0.0,0.0
1h,h2_t0.25_voladj,1,68.5,35.2,33.3
1h,h2_t0.25_voladj,2,71.7,36.1,35.5
1h,h2_t0.25_voladj,3,72.2,36.5,35.7
1h,h2_t0.25_voladj,4,72.0,37.1,34.9
1h,h2_t0.25_voladj,5,72.5,38.0,34.5
1h,h2_t0.25_raw,1,0.0,0.0,0.0
1h,h2_t0.25_raw,2,0.0,0.0,0.0
1h,h2_t0.25_raw,3,0.0,0.0,0.0
1h,h2_t0.25_raw,4,0.0,0.0,0.0
1h,h2_t0.25_raw,5,0.0,0.0,0.0
1h,h2_t0.5_voladj,1,44.4,22.7,21.6
1h,h2_t0.5_voladj,2,50.2,25.2,25.0
1h,h2_t0.5_voladj,3,49.5,25.1,24.5
1h,h2_t0.5_voladj,4,48.6,25.2,23.5
1h,h2_t0.5_voladj,5,49.4,26.0,23.3
1h,h2_t0.5_raw,1,0.0,0.0,0.0
1h,h2_t0.5_raw,2,0.0,0.0,0.0
1h,h2_t0.5_raw,3,0.0,0.0,0.0
1h,h2_t0.5_raw,4,0.0,0.0,0.0
1h,h2_t0.5_raw,5,0.0,0.0,0.0
1h,h2_t0.75_voladj,1,30.2,15.5,14.6
1h,h2_t0.75_voladj,2,34.7,17.4,17.3
1h,h2_t0.75_voladj,3,33.9,16.9,16.9
1h,h2_t0.75_voladj,4,32.6,17.1,15.5
1h,h2_t0.75_voladj,5,33.4,17.7,15.7
1h,h2_t0.75_raw,1,0.0,0.0,0.0
1h,h2_t0.75_raw,2,0.0,0.0,0.0
1h,h2_t0.75_raw,3,0.0,0.0,0.0
1h,h2_t0.75_raw,4,0.0,0.0,0.0
1h,h2_t0.75_raw,5,0.0,0.0,0.0
1h,h2_t1.0_voladj,1,21.1,10.8,10.2
1h,h2_t1.0_voladj,2,24.5,12.2,12.3
1h,h2_t1.0_voladj,3,23.6,11.5,12.0
1h,h2_t1.0_voladj,4,21.9,11.5,10.4
1h,h2_t1.0_voladj,5,23.0,12.2,10.8
1h,h2_t1.0_raw,1,0.0,0.0,0.0
1h,h2_t1.0_raw,2,0.0,0.0,0.0
1h,h2_t1.0_raw,3,0.0,0.0,0.0
1h,h2_t1.0_raw,4,0.0,0.0,0.0
1h,h2_t1.0_raw,5,0.0,0.0,0.0
1h,h3_t0.25_voladj,1,67.6,34.8,32.8
1h,h3_t0.25_voladj,2,72.5,36.9,35.6
1h,h3_t0.25_voladj,3,71.9,36.1,35.8
1h,h3_t0.25_voladj,4,71.4,37.1,34.3
1h,h3_t0.25_voladj,5,71.8,37.9,34.0
1h,h3_t0.25_raw,1,0.0,0.0,0.0
1h,h3_t0.25_raw,2,0.0,0.0,0.0
1h,h3_t0.25_raw,3,0.0,0.0,0.0
1h,h3_t0.25_raw,4,0.0,0.0,0.0
1h,h3_t0.25_raw,5,0.0,0.0,0.0
1h,h3_t0.5_voladj,1,45.1,23.4,21.7
1h,h3_t0.5_voladj,2,50.4,25.3,25.1
1h,h3_t0.5_voladj,3,49.7,25.1,24.7
1h,h3_t0.5_voladj,4,48.4,25.1,23.3
1h,h3_t0.5_voladj,5,49.5,26.5,23.0
1h,h3_t0.5_raw,1,0.0,0.0,0.0
1h,h3_t0.5_raw,2,0.0,0.0,0.0
1h,h3_t0.5_raw,3,0.0,0.0,0.0
1h,h3_t0.5_raw,4,0.0,0.0,0.0
1h,h3_t0.5_raw,5,0.0,0.0,0.0
1h,h3_t0.75_voladj,1,30.8,15.8,14.9
1h,h3_t0.75_voladj,2,35.3,17.8,17.4
1h,h3_t0.75_voladj,3,33.7,16.9,16.8
1h,h3_t0.75_voladj,4,32.9,17.4,15.5
1h,h3_t0.75_voladj,5,33.2,17.5,15.7
1h,h3_t0.75_raw,1,0.0,0.0,0.0
1h,h3_t0.75_raw,2,0.0,0.0,0.0
1h,h3_t0.75_raw,3,0.0,0.0,0.0
1h,h3_t0.75_raw,4,0.0,0.0,0.0
1h,h3_t0.75_raw,5,0.0,0.0,0.0
1h,h3_t1.0_voladj,1,22.0,11.2,10.7
1h,h3_t1.0_voladj,2,25.4,12.7,12.7
1h,h3_t1.0_voladj,3,23.4,11.7,11.6
1h,h3_t1.0_voladj,4,22.4,11.6,10.8
1h,h3_t1.0_voladj,5,22.4,11.7,10.6
1h,h3_t1.0_raw,1,0.0,0.0,0.0
1h,h3_t1.0_raw,2,0.0,0.0,0.0
1h,h3_t1.0_raw,3,0.0,0.0,0.0
1h,h3_t1.0_raw,4,0.0,0.0,0.0
